Error Message,Site ID,Site Name,Placement ID,Placement Name,Placement Compatibility,Placement Group Type,Placement Group ID,Primary Placement,Payment Source,Dimensions,Placement Orientation,Placement Duration,Placement Publisher Specification,Placement Tag Wrapping,Placement Tag Wrapping Type,Placement Tag Wrapping Measurement Mode,Placement status,Start Date,End Date,Cost Structure,Units,Rate,Cost,Opt This Placement Out of Ad Blocking,Placement Comments,Content Category,Placement Strategy,Assignment is Active,Ad ID,Ad Name,Ad Type,Ad is Active,Ad is Archived,Ad Start Time,Ad End Time,Ad Uses Default Landing Page,Ad Landing Page ID,Ad Landing Page Name,Ad Click-Through URL,Applied Impression Event Tag IDs,Applied Click Event Tag ID,Hard Cut-Off,Priority,Impression Ratio,Rotation Type,Weight Calculation Strategy,Rotation Value,Audience Segment Group Name,Audience Segment Name,Creative ID,Creative Name,Creative Type,Creative Compatibility,Creative Start Date,Creative End Date,Creative Assignment is Active,Creative Assignment Event Tags Enabled,Creative Uses Default Landing Page,Creative Landing Page ID,Creative Landing Page Name,Creative Click-Through URL
,1972173,"Waze, Inc",353610332,BFG_National_VISITS_ALL_ALL_ALL_Waze_Waze_BrandedPinGeoNortheast_3P_MOB_Display_CPM_152x112,Display,,353962564,No,Agency Paid,1x1,,,,No,,,Active,12/26/2022,03/26/2023,CPM,3579545,1.7600,6300.00,No,"Created by Prisma at 7:17PM EST on December 16, 2022. Placement id=P2712VG, Prisma campaign id=CP1XJYJ",,,Yes,545030683,BFG_VISITS_1x1_WazePin_Display_152x112,Tracking,Yes,No,12/26/2022 12:00 AM,03/26/2023 11:59 PM,,,,,4567151,,Yes,15,1,Weighted,Even,,,,183540831,BFG_VISITS_WinterLTO_1x1,Tracking,,12/26/2022 12:00 AM,03/26/2023 11:59 PM,Yes,Yes,No,33923735,WAZE VISITS,
,1972173,"Waze, Inc",353962177,BFG_National_VISITS_ALL_ALL_ALL_Waze_Waze_BrandedPinGeo_3P_MOB_Display_CPM_152x112,Display,,353609534,No,Agency Paid,1x1,,,,No,,,Active,12/26/2022,03/26/2023,CPM,1250000,1.7600,2200.00,No,"Created by Prisma at 7:17PM EST on December 16, 2022. Placement id=P2712V4, Prisma campaign id=CP1XJYJ",,,Yes,545030683,BFG_VISITS_1x1_WazePin_Display_152x112,Tracking,Yes,No,12/26/2022 12:00 AM,03/26/2023 11:59 PM,,,,,4567151,,Yes,15,1,Weighted,Even,,,,183540831,BFG_VISITS_WinterLTO_1x1,Tracking,,12/26/2022 12:00 AM,03/26/2023 11:59 PM,Yes,Yes,No,33923735,WAZE VISITS,
,1972173,"Waze, Inc",353609723,BFG_National_VISITS_ALL_ALL_ALL_Waze_Waze_ZSTGeoNortheast_3P_MOB_Display_CPM_1x1,Display,,353969643,No,Agency Paid,1x1,,,,No,,,Active,12/26/2022,03/26/2023,CPM,117978,17.8000,2100.01,No,"Created by Prisma at 7:17PM EST on December 16, 2022. Placement id=P2712VD, Prisma campaign id=CP1XJYJ",,,Yes,545030686,BFG_VISITS_1x1_WazeZST_Display_1x1,Tracking,Yes,No,12/26/2022 12:00 AM,03/26/2023 11:59 PM,,,,,4567151,,Yes,15,1,Weighted,Even,,,,183540831,BFG_VISITS_WinterLTO_1x1,Tracking,,12/26/2022 12:00 AM,03/26/2023 11:59 PM,Yes,Yes,No,33923735,WAZE VISITS,
,1972173,"Waze, Inc",353969655,BFG_National_VISITS_ALL_ALL_ALL_Waze_Waze_ZSTGeo_3P_MOB_Display_CPM_1x1,Display,,353609726,No,Agency Paid,1x1,,,,No,,,Active,12/26/2022,03/26/2023,CPM,179775,17.8000,3200.00,No,"Created by Prisma at 7:17PM EST on December 16, 2022. Placement id=P2712V0, Prisma campaign id=CP1XJYJ",,,Yes,545030686,BFG_VISITS_1x1_WazeZST_Display_1x1,Tracking,Yes,No,12/26/2022 12:00 AM,03/26/2023 11:59 PM,,,,,4567151,,Yes,15,1,Weighted,Even,,,,183540831,BFG_VISITS_WinterLTO_1x1,Tracking,,12/26/2022 12:00 AM,03/26/2023 11:59 PM,Yes,Yes,No,33923735,WAZE VISITS,
,1972173,"Waze, Inc",353609534,BFG_National_VISITS_ALL_ALL_ALL_Waze_Waze_BrandedPinGeo_3P_MOB_Display_CPM_Package,Display,Package,,,Agency Paid,,,,,No,,,Active,12/26/2022,03/26/2023,CPM,1250000,1.7600,2200.00,No,"Created by Prisma at 9:43AM EST on December 02, 2022. Package id=P2712TZ, Prisma campaign id=CP1XJYJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1972173,"Waze, Inc",353609726,BFG_National_VISITS_ALL_ALL_ALL_Waze_Waze_ZSTGeo_3P_MOB_Display_CPM_Package,Display,Package,,,Agency Paid,,,,,No,,,Active,12/26/2022,03/26/2023,CPM,179775,17.8000,3200.00,No,"Created by Prisma at 9:43AM EST on December 02, 2022. Package id=P2712V9, Prisma campaign id=CP1XJYJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1972173,"Waze, Inc",353962564,BFG_National_VISITS_ALL_ALL_ALL_Waze_Waze_BrandedPinGeoNortheast_3P_MOB_Display_CPM_Package,Display,Package,,,Agency Paid,,,,,No,,,Active,12/26/2022,03/26/2023,CPM,3579545,1.7600,6300.00,No,"Created by Prisma at 9:43AM EST on December 02, 2022. Package id=P2712VF, Prisma campaign id=CP1XJYJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1972173,"Waze, Inc",353969643,BFG_National_VISITS_ALL_ALL_ALL_Waze_Waze_ZSTGeoNortheast_3P_MOB_Display_CPM_Package,Display,Package,,,Agency Paid,,,,,No,,,Active,12/26/2022,03/26/2023,CPM,117978,17.8000,2100.01,No,"Created by Prisma at 9:43AM EST on December 02, 2022. Package id=P2712VC, Prisma campaign id=CP1XJYJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
